flink,terasort,cmbw.sh,no,success,804.546686 
flink,terasort,cmbw.sh,bw,fail,1060.623490 
flink,terasort,cmbw.sh,cache,success,689.207254 
flink,terasort,cmbw.sh,bwcache,success,1186.511761 
flink,terasort,cmbw.sh,no,success,739.660650 
flink,terasort,cmbw.sh,bw,fail,1017.723942 
flink,terasort,cmbw.sh,cache,success,852.528069 
flink,terasort,cmbw.sh,bwcache,success,969.650089 
flink,terasort,cmbw.sh,no,success,759.033960 
flink,terasort,cmbw.sh,bw,success,1170.696620 
flink,terasort,cmbw.sh,cache,success,775.498479 
flink,terasort,cmbw.sh,bwcache,fail,1147.735567 
spark,terasort,clbm.sh,no,success,192.277721 
spark,terasort,clbm.sh,bw,success,267.428236 
spark,terasort,clbm.sh,cache,success,202.021074 
spark,terasort,clbm.sh,bwcache,success,166.977183 
spark,terasort,clbm.sh,no,success,241.118989 
spark,terasort,clbm.sh,bw,success,192.418780 
2015-12-16 19:30:47,flink,terasort,comnet.sh,bw,success,80.564463 
2015-12-16 19:34:50,flink,terasort,comnet.sh,cache,success,111.155713 
2015-12-16 19:38:27,flink,terasort,comnet.sh,bwcache,success,86.065677 
2015-12-16 19:41:58,flink,terasort,comnet.sh,no,success,78.914236 
2015-12-16 19:45:27,flink,terasort,comnet.sh,bw,success,77.800415 
2015-12-16 19:49:32,flink,terasort,comnet.sh,cache,success,113.692146 
2015-12-16 19:53:33,flink,terasort,comnet.sh,bwcache,success,109.499343 
2015-12-16 19:56:44,flink,terasort,comnet.sh,no,success,60.152297 
2015-12-16 20:00:16,flink,terasort,comnet.sh,bw,success,80.748564 
2015-12-16 20:04:19,flink,terasort,comnet.sh,cache,success,111.553437 
2015-12-16 20:08:19,flink,terasort,comnet.sh,bwcache,success,108.453708 
2015-12-16 20:27:36,spark,terasort,comnet.sh,no,success,51.338527 
2015-12-16 20:30:53,spark,terasort,comnet.sh,bw,success,62.198092 
2015-12-16 20:34:17,spark,terasort,comnet.sh,cache,success,68.540922 
2015-12-16 20:37:43,spark,terasort,comnet.sh,bwcache,success,70.313552 
2015-12-16 20:41:01,spark,terasort,comnet.sh,no,success,61.479350 
2015-12-16 20:44:18,spark,terasort,comnet.sh,bw,success,62.478724 
2015-12-16 20:47:43,spark,terasort,comnet.sh,cache,success,68.828933 
2015-12-16 20:51:09,spark,terasort,comnet.sh,bwcache,success,70.496956 
2015-12-16 20:54:27,spark,terasort,comnet.sh,no,success,62.522207 
2015-12-16 20:57:44,spark,terasort,comnet.sh,bw,success,61.924608 
2015-12-16 21:01:08,spark,terasort,comnet.sh,cache,success,68.704705 
2015-12-16 21:04:34,spark,terasort,comnet.sh,bwcache,success,70.349114 
2015-12-16 21:15:50,spark,terasort,clibquantum.sh,no,success,62.040801 
2015-12-16 21:19:08,spark,terasort,clibquantum.sh,bw,success,62.752195 
2015-12-16 21:22:32,spark,terasort,clibquantum.sh,cache,success,67.911382 
2015-12-16 21:25:57,spark,terasort,clibquantum.sh,bwcache,success,69.660115 
2015-12-16 21:29:14,spark,terasort,clibquantum.sh,no,success,61.332860 
2015-12-16 21:32:31,spark,terasort,clibquantum.sh,bw,success,61.863992 
2015-12-16 21:35:58,spark,terasort,clibquantum.sh,cache,success,71.436862 
2015-12-16 21:39:26,spark,terasort,clibquantum.sh,bwcache,success,71.665551 
2015-12-16 21:42:43,spark,terasort,clibquantum.sh,no,success,61.647652 
